id,alertname,difficulty,root_cause_real,solution_real,evidence_real,root_cause_pred,solution_pred,evidence_pred,tokens,completion_cnt,error,score
bug_l1,BugTicketServiceOverloaded2,easy,Reopen ticket config changed.,Change reopen ticket config,todo,The root cause of the alert is the high number of reopened tickets for different tags.,"To resolve the alert, investigate the code logic for ticket reopening and optimize it to reduce CPU usage.","The evidence found in the logs shows that there have been a significant number of tickets reopened for different tags, which may be causing the high CPU usage. Additionally, the pod 'bugticketsvc-main-1' has restarted once, indicating a potential issue with the pod itself.",28609,11,Final answer not reached,0
bug_l2,TicketCountHigh,easy,Tag got ignored.,Assign people to this tag,todo,The root cause of the high number of open tickets and high CPU usage in the 'bugticketsvc-main-2' pod is likely related to the ticket reopening process in the 'bugticketsvc-main-1' pod.,Restarting the 'bugticketsvc-main-1' pod manually.,"Logs show that a significant number of tickets have been reopened for different tags in the 'bugticketsvc-main-1' pod. The CPU usage of the pod is also increasing. This suggests a problem with the ticket reopening process. Additionally, the 'reopenticket' parameter was recently changed in the configuration, which may have caused the issue.",25400,10,No error,0
bug_s1,BugTicketServiceOverloaded,difficult,Missconf in paymentsvc.,Change conf in paymentsvc,todo,The paymentsvc pod in the test-000 namespace is in a failed state and the payment processing exceeded the allowed time for the last 100 transactions.,Restart the paymentsvc pod to fix the issue.,The paymentsvc pod in the test-000 namespace is reported as 'Failed' in the pod status. The logs of the paymentsvc pod show warnings indicating that payment processing exceeded the allowed time.,24972,10,No error,0
bug_s2,TicketCountHigh2,difficult,Missconf in playerstatsvc.,Change conf in playerstatsvc,todo,The root cause of the alert is a problem with the playerstats service. There are bans happening for a player with id 7295 and a decrease in the number of players checking stats and generating authentication tokens. The 'playerstatssvc' pod also shows failures.,"To fix the alert, further investigation is required to identify and fix any issues with the playerstats service. This could include debugging the service code, checking the database connections, and ensuring the service is properly configured.","Evidence from the logs includes bans happening for a player with id 7295, decreases in the number of players checking stats and generating authentication tokens, and failures in the 'playerstatssvc' pod.",29684,11,Final answer not reached,0
bug_s3,BugTicketServiceOverloaded3,difficult,Missconf in userauthscv.,Change conf in userauthscv,todo,"The high CPU usage in the bugticketsvc-main-0 pod is caused by the failed userauthsvc-main-0 pod, which is experiencing issues with the OAuth-Provider and problems with logging in from different regions.","To resolve the issue, the userauthsvc-main-0 pod should be investigated and fixed. The problems with the OAuth-Provider should be resolved and any issues related to logging in from different regions should be addressed.","1. The logs of the bugticketsvc-main-0 pod show that the CPU usage increases shortly after there are many new open tickets for the 'userauthsvc' tag.
2. The userauthsvc-main-0 pod is in a failed state with 0 out of 7 containers ready.
3. The logs of the userauthsvc-main-0 pod indicate problems with the OAuth-Provider and logging in from different regions.
4. The CPU usage warnings in the logs of the paymentsvc-main-0 pod might be a result of the increased CPU usage in the bugticketsvc-main-0 pod.",28548,11,Final answer not reached,0
bug_s4,TicketCountHigh3,difficult,Missconf in messengersvc.,Change conf in messengersvc,todo,The root cause of the alert is the high number of new open tickets for the tag 'messengerscv'.,"To resolve the issue, investigate and address the cause of the high number of new open tickets.",Evidence for this solution is the observation of multiple instances of '10000 new open tickets for tag: messengerscv' in the pod logs of 'bugticketsvc-main-0'.,28963,11,Final answer not reached,0
pay_l1,PaymentServiceDown,easy,Missconf payment svc.,Change conf in payment svc,todo,"The root cause is a configuration change with 'debug-mode' set to true, which is causing the payment processing to exceed certain time limits.",The solution is to revert the configuration change and set 'debug-mode' to false.,"The evidence is the log entry 'Changed config: debug-mode set to true', followed by the warning log entries about payment processing exceeding time limits.",18536,8,No error,0
pay_l2,PaymentServiceOverloaded,easy,Third-party svc down,Enbale Cache,todo,The root cause of the high CPU usage in the PaymentService is the failed pod 'userauthsvc-main-0' in the namespace 'test-002'.,"The solution is to fix the issue with the 'userauthsvc-main-0' pod, so that it doesn't cause high CPU usage in the PaymentService.",The evidence is that the 'userauthsvc-main-0' pod has failed and has restarted 5 times.,28644,11,Final answer not reached,0
pay_s1,NoTransactionsFromRegion,difficult,Userauth problems,Check userauth service,todo,"The SSL/TLS certificate for the America-North region is expiring soon or has expired, causing users to be logged out and preventing transactions from that region.",Renew or update the SSL/TLS certificate for the America-North region.,Logs from the 'userauthsvc-main-0' pod show warnings about the SSL/TLS certificate expiring soon and users being logged out in the America-North region.,25742,10,No error,0
pay_s2,RefundSpam,difficult,Negative item value in messengersc.,Change item value to 10,todo,The messengersvc pod is spamming refund requests for the item 'Sword of darkness'.,Investigate and fix the issue in the messengersvc code or configuration.,"Logs show multiple broadcasts of the message 'Prepare for the event, warriors!' at regular intervals.",12678,6,No error,0
auth_l1,AuthServiceDownForRegion,easy,Missconfigured expiration date of certificate of region,Change expiration date of certificate,todo,The root cause of the alert is the change in the SSL/TLS expiration date of America-North.,The possible solution is to update the SSL/TLS certificate for America-North.,The log entry at t=2024-02-05T23:04:53.334234Z shows the change in the SSL/TLS expiration date of America-North.,7041,4,No error,0
auth_l2,UserAuthServiceDown,easy,OAuth failed,Enable cache,todo,The root cause of the alert is the UserAuthService pod 'userauthsvc-main-0' being in a failed state with 5 restarts.,"A possible solution is to check the status of the cache service pod and restart it if necessary. Additionally, investigate the connectivity and availability of the OAuth-Provider.",The evidence for the solution is that the logs of the 'userauthsvc-main-0' pod indicate that the cache service is offline and there are warnings about the OAuth-Provider not being available. The failed state and restarts of the UserAuthService pod also support the solution.,25987,11,Final answer not reached,0
msg_l1,ZeroCostAlert,easy,Broadcast with 0 cost item,Change cost to 10,todo,"The root cause of the alert is a negative value in a broadcast message, which is not allowed and rounded up to 0$.",The solution is to ensure that only positive values are used in broadcast messages.,The evidence is the log entry: 'Negative Broadcast values not allowed. Rounded up to 0$. Resend Broadcast...',11556,6,No error,0
msg_l2,MessageSpam,easy,Message spam due to wrong resend value,Change resend value.,todo,"There is a spamming issue in the messengersvc pod, where the same message 'Prepare for the event, warriors!' has been broadcasted multiple times.",Implement a check in the messengersvc service to prevent broadcasting the same message multiple times within a certain time interval.,"Logs from the messengersvc-main-0 and messengersvc-main-1 pods show multiple broadcasts of the same message, indicating a spamming issue.",31736,11,Final answer not reached,0
